annee,perte_biomasse_Mg,perte_surface_ha
2001,267719863.42742094,991739.7594334412
2002,675569975.0813262,2664580.713005361
2003,609800304.7956419,2486980.7681569345
2004,872908579.4964939,3398618.951658653
2005,869852326.4796,3329539.9644188313
2006,739639986.0750675,2813538.657428738
2007,739551876.4336911,2904251.507172039
2008,707447722.3237696,2713666.135092484
2009,746287651.4170839,2801442.459963185
2010,848608678.3254818,3306119.7125450983
2011,722147438.3096824,2750628.2275984446
2012,966706430.3026876,3596142.2236937555
2013,703597697.3430411,2639154.2544202725
2014,966335730.4714447,3587422.4046271397
2015,805031904.8718393,2932043.69180937
2016,1614153933.8788815,6128121.519633494
2017,1268842042.7723153,5001650.547520535
2018,987558897.4975646,3648019.0494538643
2019,1003386309.3041635,3751054.3216199377
